title,description,creator,location,date,dateCreated:end,source,type,content_type,format,display_template,subject,filename,object_location,image_small,image_thumb,rights,object_thumb,object_location,reference_url
"Lee&#39;s Garage","Esten Lee&#39;s garage in Deary with three men behind the counter. Left to right - Andrew Carlson, Esten Lee, Jack Brown.  Automobile tires are stored overhead.  A sign on the wall reads &quot;Cash Makes No Enemies.&quot;","","Deary, ID","1933","","Image Collections, Latah County Historical Society, https://www.latahcountyhistoricalsociety.org/","Image;StillImage","PHOTOGRAPH","image/jpeg","image","Tires; Garage; Cap; Deary; Idaho","04-03-011.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/04-03-011.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/small/04-03-011_sm.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/thumbs/04-03-011_th.jpg","Copyright, Latah County Historical Society Collections. All Rights reserved, contact the Latah County Historical Society for reproduction information.","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/thumbs/04-03-011_th.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/04-03-011.jpg","https://latahcountyhistoricalsociety.github.io/deary-pilot/items/04-03-011.html"
"Gust Reiber in McConnon&#39;s Remedies wagon","Gust Reiber, Deary, salesman for McCannon Products, in McConnon&#39;s Remedies horse drawn wagon front of the old Flodin home on Dry Ridge.","","Dry Ridge, ID","1912","","Image Collections, Latah County Historical Society, https://www.latahcountyhistoricalsociety.org/","Image;StillImage","PHOTOGRAPH","image/jpeg","image","Remedies; Toilet Articles; McConnon&#39;s; Horse Drawn; Cart","04-03-012.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/04-03-012.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/small/04-03-012_sm.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/thumbs/04-03-012_th.jpg","Copyright, Latah County Historical Society Collections. All Rights reserved, contact the Latah County Historical Society for reproduction information.","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/thumbs/04-03-012_th.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/04-03-012.jpg","https://latahcountyhistoricalsociety.github.io/deary-pilot/items/04-03-012.html"
"Alex&#39;s Mexican-American Food","Deary, Alex&#39;s Cafe, formerly blacksmith&#39;s shop. A car and a truck are in front of the business.","","Deary, ID","1978","","Image Collections, Latah County Historical Society, https://www.latahcountyhistoricalsociety.org/","Image;StillImage","PHOTOGRAPH","image/jpeg","image","7-Up; Mexican-American; Resteraunt; Food; Blacksmith","04-03-013.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/04-03-013.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/small/04-03-013_sm.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/thumbs/04-03-013_th.jpg","Copyright, Latah County Historical Society Collections. All Rights reserved, contact the Latah County Historical Society for reproduction information.","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/thumbs/04-03-013_th.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/04-03-013.jpg","https://latahcountyhistoricalsociety.github.io/deary-pilot/items/04-03-013.html"
"U.S. Post Office","Former building of the Latah County State Bank in Deary, Idaho. Photographed site of the United States Postal Office in Deary, Idaho 83823. This photograph is the head-on image of the building","","Deary, ID","1993","","Image Collections, Latah County Historical Society, https://www.latahcountyhistoricalsociety.org/","Image;StillImage","PHOTOGRAPH","image/jpeg","image","Bank; Post Office; Deary; Idaho; Flags","04-03-014.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/04-03-014.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/small/04-03-014_sm.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/thumbs/04-03-014_th.jpg","Copyright, Latah County Historical Society Collections. All Rights reserved, contact the Latah County Historical Society for reproduction information.","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/thumbs/04-03-014_th.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/04-03-014.jpg","https://latahcountyhistoricalsociety.github.io/deary-pilot/items/04-03-014.html"
"United States Post Office","Former building of the Latah County State Bank in Deary, Idaho. Photographed site of the United States Postal Office in Deary, Idaho 83823. This diagonal view photograph was taken for the County Historical Site Survey.","","Deary, ID","1993","","Image Collections, Latah County Historical Society, https://www.latahcountyhistoricalsociety.org/","Image;StillImage","PHOTOGRAPH","image/jpeg","image","Bank; Post Office; Deary; Idaho; Flags","04-03-015.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/04-03-015.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/small/04-03-015_sm.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/thumbs/04-03-015_th.jpg","Copyright, Latah County Historical Society Collections. All Rights reserved, contact the Latah County Historical Society for reproduction information.","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/thumbs/04-03-015_th.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/04-03-015.jpg","https://latahcountyhistoricalsociety.github.io/deary-pilot/items/04-03-015.html"
"Latah County State Bank","Latah County State Bank, Deary Idaho. Brick building with dirt roads around it. A boardwalk can be seen in front. This was the only building on this block to survive the fire of October of 1923.","","Deary, ID","1890","","Image Collections, Latah County Historical Society, https://www.latahcountyhistoricalsociety.org/","Image;StillImage","PHOTOGRAPH","image/jpeg","image","Bank; Latah County; Deary; Idaho; Boardwalk","04-03-017.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/04-03-017.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/small/04-03-017_sm.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/thumbs/04-03-017_th.jpg","Copyright, Latah County Historical Society Collections. All Rights reserved, contact the Latah County Historical Society for reproduction information.","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/thumbs/04-03-017_th.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/04-03-017.jpg","https://latahcountyhistoricalsociety.github.io/deary-pilot/items/04-03-017.html"
"Deary Library","Interior of the new library in Deary, Idaho. This photogrpah was taken in conjunction with the new library opening in 1988.","","Deary, ID","1988","","Image Collections, Latah County Historical Society, https://www.latahcountyhistoricalsociety.org/","Image;StillImage","PHOTOGRAPH","image/jpeg","image","Library; Interior; Deary; Idaho; Books; Table","04-03-021.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/04-03-021.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/small/04-03-021_sm.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/thumbs/04-03-021_th.jpg","Copyright, Latah County Historical Society Collections. All Rights reserved, contact the Latah County Historical Society for reproduction information.","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/thumbs/04-03-021_th.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/04-03-021.jpg","https://latahcountyhistoricalsociety.github.io/deary-pilot/items/04-03-021.html"
"Library of Deary","Local residents using the library collections in Deary, Idaho.","","Deary, ID","1988","","Image Collections, Latah County Historical Society, https://www.latahcountyhistoricalsociety.org/","Image;StillImage","PHOTOGRAPH","image/jpeg","image","Library; Interior; Deary; Idaho; Books","04-03-022.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/04-03-022.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/small/04-03-022_sm.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/thumbs/04-03-022_th.jpg","Copyright, Latah County Historical Society Collections. All Rights reserved, contact the Latah County Historical Society for reproduction information.","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/thumbs/04-03-022_th.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/04-03-022.jpg","https://latahcountyhistoricalsociety.github.io/deary-pilot/items/04-03-022.html"
"Deary Library Collections Desk","Collections desk inside the library at Deary, Idaho. A smiling employee or volunteer poses for the photograph.","","Deary, ID","1988","","Image Collections, Latah County Historical Society, https://www.latahcountyhistoricalsociety.org/","Image;StillImage","PHOTOGRAPH","image/jpeg","image","Library; Interior; Deary; Idaho; Snoopy; Microfilm","04-03-023.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/04-03-023.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/small/04-03-023_sm.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/thumbs/04-03-023_th.jpg","Copyright, Latah County Historical Society Collections. All Rights reserved, contact the Latah County Historical Society for reproduction information.","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/thumbs/04-03-023_th.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/04-03-023.jpg","https://latahcountyhistoricalsociety.github.io/deary-pilot/items/04-03-023.html"
"Deary Library - Exterior","Exterior of the Deary Library with a flagpole and a sign claiming &quot;We&#39;re OPEN&quot;","","Deary, ID","1988","","Image Collections, Latah County Historical Society, https://www.latahcountyhistoricalsociety.org/","Image;StillImage","PHOTOGRAPH","image/jpeg","image","Library; Exterior; Deary; Idaho","04-03-024.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/04-03-024.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/small/04-03-024_sm.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/thumbs/04-03-024_th.jpg","Copyright, Latah County Historical Society Collections. All Rights reserved, contact the Latah County Historical Society for reproduction information.","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/thumbs/04-03-024_th.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/04-03-024.jpg","https://latahcountyhistoricalsociety.github.io/deary-pilot/items/04-03-024.html"
"Private residence in winter","Private home in Deary on a snowy winter day/  Hill with trees in background, fence is partially buried in snow.","","Deary, ID","1940","1950","Image Collections, Latah County Historical Society, https://www.latahcountyhistoricalsociety.org/","Image;StillImage","PHOTOGRAPH","image/jpeg","image","Home; Trees; Hillside; Deary; Idaho","04-05-001.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/04-05-001.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/small/04-05-001_sm.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/thumbs/04-05-001_th.jpg","Copyright, Latah County Historical Society Collections. All Rights reserved, contact the Latah County Historical Society for reproduction information.","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/thumbs/04-05-001_th.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/04-05-001.jpg","https://latahcountyhistoricalsociety.github.io/deary-pilot/items/04-05-001.html"
"Texas Ridge and Femreite family","Home and outbuildings on Texas Ridge in 1916, Henry and Laura Femreite and baby Garfield pose in front of a team of horses hitched to a grain drill.","","Deary, ID","1916","","Image Collections, Latah County Historical Society, https://www.latahcountyhistoricalsociety.org/","Image;StillImage","PHOTOGRAPH","image/jpeg","image","Home; Trees; Cattle; Horses; Rural; Deary","04-05-002.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/04-05-002.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/small/04-05-002_sm.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/thumbs/04-05-002_th.jpg","Copyright, Latah County Historical Society Collections. All Rights reserved, contact the Latah County Historical Society for reproduction information.","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/thumbs/04-05-002_th.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/04-05-002.jpg","https://latahcountyhistoricalsociety.github.io/deary-pilot/items/04-05-002.html"
"Anton Lee home","Anton Lee home in Deary, with photo studio upstairs.  Four men are posing, hats are on the ground, all are holding either rifles or some type of tool.  Pick axes and bags are on the ground.","Anton Lee","Deary, ID","1910","1915","Image Collections, Latah County Historical Society, https://www.latahcountyhistoricalsociety.org/","Image;StillImage","PHOTOGRAPH","image/jpeg","image","Photographer studio; Home; Rifles; Equipment; Deary; Idaho","04-05-003.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/04-05-003.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/small/04-05-003_sm.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/thumbs/04-05-003_th.jpg","Copyright, Latah County Historical Society Collections. All Rights reserved, contact the Latah County Historical Society for reproduction information.","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/thumbs/04-05-003_th.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/04-05-003.jpg","https://latahcountyhistoricalsociety.github.io/deary-pilot/items/04-05-003.html"
"Axtell place at Stanford","Axtell place at Stanford (pre railroad) - between Yale and Avon.","","Deary, ID","1895","1905","Image Collections, Latah County Historical Society, https://www.latahcountyhistoricalsociety.org/","Image;StillImage","PHOTOGRAPH","image/jpeg","image","Axtell family; Rural; Farm; Homesteading; Deary; Idaho","04-05-004.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/04-05-004.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/small/04-05-004_sm.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/thumbs/04-05-004_th.jpg","Copyright, Latah County Historical Society Collections. All Rights reserved, contact the Latah County Historical Society for reproduction information.","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/thumbs/04-05-004_th.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/04-05-004.jpg","https://latahcountyhistoricalsociety.github.io/deary-pilot/items/04-05-004.html"
"Orvik home on Big Bear Ridge","After remodeling - the Orvik homeplace on Big Bear Ridge.","","Deary, ID","1978","","Image Collections, Latah County Historical Society, https://www.latahcountyhistoricalsociety.org/","Image;StillImage","PHOTOGRAPH","image/jpeg","image","Orvik family; Rural; Home; Big Bear Ridge; Deary; Idaho","04-05-006.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/04-05-006.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/small/04-05-006_sm.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/thumbs/04-05-006_th.jpg","Copyright, Latah County Historical Society Collections. All Rights reserved, contact the Latah County Historical Society for reproduction information.","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/thumbs/04-05-006_th.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/04-05-006.jpg","https://latahcountyhistoricalsociety.github.io/deary-pilot/items/04-05-006.html"
"Orvik home on Big Bear Ridge in winter","Before remodeling - the Orvik homeplace on Big Bear Ridge.","","Deary, ID","1970","1975","Image Collections, Latah County Historical Society, https://www.latahcountyhistoricalsociety.org/","Image;StillImage","PHOTOGRAPH","image/jpeg","image","Orvik family; Rural; Home; Big Bear Ridge; Deary; Idaho","04-05-007.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/04-05-007.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/small/04-05-007_sm.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/thumbs/04-05-007_th.jpg","Copyright, Latah County Historical Society Collections. All Rights reserved, contact the Latah County Historical Society for reproduction information.","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/thumbs/04-05-007_th.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/04-05-007.jpg","https://latahcountyhistoricalsociety.github.io/deary-pilot/items/04-05-007.html"
"Deary Post Office, 1978","Deary Post Office plus adjoining buildings","","Deary, ID","1978-01","","Image Collections, Latah County Historical Society, https://www.latahcountyhistoricalsociety.org/","Image;StillImage","PHOTOGRAPH","image/jpeg","image","Post Office; Brick buildings; Deary; Idaho","04-06-001.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/04-06-001.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/small/04-06-001_sm.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/thumbs/04-06-001_th.jpg","Copyright, Latah County Historical Society Collections. All Rights reserved, contact the Latah County Historical Society for reproduction information.","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/thumbs/04-06-001_th.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/04-06-001.jpg","https://latahcountyhistoricalsociety.github.io/deary-pilot/items/04-06-001.html"
"Zion Lutheran Church","Zion Lutheran Church in the winter","","Deary, ID","1978-01","","Image Collections, Latah County Historical Society, https://www.latahcountyhistoricalsociety.org/","Image;StillImage","PHOTOGRAPH","image/jpeg","image","Church; Snow; Deary; Idaho","04-06-002.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/04-06-002.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/small/04-06-002_sm.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/thumbs/04-06-002_th.jpg","Copyright, Latah County Historical Society Collections. All Rights reserved, contact the Latah County Historical Society for reproduction information.","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/thumbs/04-06-002_th.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/04-06-002.jpg","https://latahcountyhistoricalsociety.github.io/deary-pilot/items/04-06-002.html"
"Community Church","Community Church in Deary with patches of snow on the ground","","Deary, ID","1978-01","","Image Collections, Latah County Historical Society, https://www.latahcountyhistoricalsociety.org/","Image;StillImage","PHOTOGRAPH","image/jpeg","image","Church; Snow; Deary; Idaho","04-06-003.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/04-06-003.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/small/04-06-003_sm.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/thumbs/04-06-003_th.jpg","Copyright, Latah County Historical Society Collections. All Rights reserved, contact the Latah County Historical Society for reproduction information.","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/thumbs/04-06-003_th.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/04-06-003.jpg","https://latahcountyhistoricalsociety.github.io/deary-pilot/items/04-06-003.html"
"Deary High School Basketball Team","Deary High School Basketball Team, 1933. Back row left to right:  Bob Morton, Walt Mallery, Norman Nelson, Billy King, Howard Parks.  Front row, left to right:  Coach Huddleson, Boyd Beckett, Darrell Waide, Carl Nelson, Louis Contos.","","Deary, ID","1933","","Image Collections, Latah County Historical Society, https://www.latahcountyhistoricalsociety.org/","Image;StillImage","PHOTOGRAPH","image/jpeg","image","Sports; Basketball; Team; Deary; Idaho","04-06-004.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/04-06-004.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/small/04-06-004_sm.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/thumbs/04-06-004_th.jpg","Copyright, Latah County Historical Society Collections. All Rights reserved, contact the Latah County Historical Society for reproduction information.","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/thumbs/04-06-004_th.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/04-06-004.jpg","https://latahcountyhistoricalsociety.github.io/deary-pilot/items/04-06-004.html"
"Deary School","Deary School.  The lower floor was constructed in 1908, the upper in 1911.  Two outbuildings appear behind the school.","","Deary, ID","1911","1915","Image Collections, Latah County Historical Society, https://www.latahcountyhistoricalsociety.org/","Image;StillImage","PHOTOGRAPH","image/jpeg","image","School; Windows; Cupola; Deary; Idaho","04-06-005.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/04-06-005.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/small/04-06-005_sm.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/thumbs/04-06-005_th.jpg","Copyright, Latah County Historical Society Collections. All Rights reserved, contact the Latah County Historical Society for reproduction information.","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/thumbs/04-06-005_th.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/04-06-005.jpg","https://latahcountyhistoricalsociety.github.io/deary-pilot/items/04-06-005.html"
"Deary School in 1908","Deary School in 1908 with students and teachers standing in snow in front of the school.","","Deary, ID","1908","","Image Collections, Latah County Historical Society, https://www.latahcountyhistoricalsociety.org/","Image;StillImage","PHOTOGRAPH","image/jpeg","image","School; Snow; Winter; Students; Deary; Idaho","04-06-006.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/04-06-006.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/small/04-06-006_sm.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/thumbs/04-06-006_th.jpg","Copyright, Latah County Historical Society Collections. All Rights reserved, contact the Latah County Historical Society for reproduction information.","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/thumbs/04-06-006_th.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/04-06-006.jpg","https://latahcountyhistoricalsociety.github.io/deary-pilot/items/04-06-006.html"
"Deary High School Basketball Team in 1940","Deary High School Basketball Team.  Left to right:  Don Heweti (?), Jerry Lawrence, Bobby Jones, _________ Sanquist, Gordon Olson, Buck Granlund, David Guvvie, Albert Nelson, Coach Nelson","","Deary, ID","1940","","Image Collections, Latah County Historical Society, https://www.latahcountyhistoricalsociety.org/","Image;StillImage","PHOTOGRAPH","image/jpeg","image","School; Basketball; Knee pads; Uniforms; Team; Deary","04-06-007.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/04-06-007.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/small/04-06-007_sm.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/thumbs/04-06-007_th.jpg","Copyright, Latah County Historical Society Collections. All Rights reserved, contact the Latah County Historical Society for reproduction information.","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/thumbs/04-06-007_th.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/04-06-007.jpg","https://latahcountyhistoricalsociety.github.io/deary-pilot/items/04-06-007.html"
"Deary High School Students","Deary High School group picture, 1923.  Standing are Kermit Waide, Edna Thorall, Leonard Miller, Elmer Kulver, Jack Wybark, Ivy Smith, and Clair Gentry.  Seated are: Winifred Olson, Winnie Miller, and Ruth Olson.","","Deary, ID","1923","","Image Collections, Latah County Historical Society, https://www.latahcountyhistoricalsociety.org/","Image;StillImage","PHOTOGRAPH","image/jpeg","image","School; Fashion; Deary; Idaho","04-06-008.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/04-06-008.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/small/04-06-008_sm.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/thumbs/04-06-008_th.jpg","Copyright, Latah County Historical Society Collections. All Rights reserved, contact the Latah County Historical Society for reproduction information.","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/thumbs/04-06-008_th.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/04-06-008.jpg","https://latahcountyhistoricalsociety.github.io/deary-pilot/items/04-06-008.html"
"Deary High School class photo, 1930","Deary High School class photo, 1930. Students are unidentified.","","Deary, ID","1930","","Image Collections, Latah County Historical Society, https://www.latahcountyhistoricalsociety.org/","Image;StillImage","PHOTOGRAPH","image/jpeg","image","Students; Fashion; Deary; Idaho","04-06-009.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/04-06-009.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/small/04-06-009_sm.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/thumbs/04-06-009_th.jpg","Copyright, Latah County Historical Society Collections. All Rights reserved, contact the Latah County Historical Society for reproduction information.","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/thumbs/04-06-009_th.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/04-06-009.jpg","https://latahcountyhistoricalsociety.github.io/deary-pilot/items/04-06-009.html"
"Deary High School Basketball Team","Deary High School Basketball Team, 1950","","Deary, ID","1950","","Image Collections, Latah County Historical Society, https://www.latahcountyhistoricalsociety.org/","Image;StillImage","PHOTOGRAPH","image/jpeg","image","Team; Basketball; Uniforms; Deary; Idaho","04-06-011.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/04-06-011.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/small/04-06-011_sm.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/thumbs/04-06-011_th.jpg","Copyright, Latah County Historical Society Collections. All Rights reserved, contact the Latah County Historical Society for reproduction information.","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/thumbs/04-06-011_th.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/04-06-011.jpg","https://latahcountyhistoricalsociety.github.io/deary-pilot/items/04-06-011.html"
"Deary Community Church","Entrance to Deary Community Church","","Deary, ID","1950","1955","Image Collections, Latah County Historical Society, https://www.latahcountyhistoricalsociety.org/","Image;StillImage","PHOTOGRAPH","image/jpeg","image","Church; Bell tower; Deary; Idaho","04-06-015.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/04-06-015.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/small/04-06-015_sm.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/thumbs/04-06-015_th.jpg","Copyright, Latah County Historical Society Collections. All Rights reserved, contact the Latah County Historical Society for reproduction information.","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/thumbs/04-06-015_th.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/04-06-015.jpg","https://latahcountyhistoricalsociety.github.io/deary-pilot/items/04-06-015.html"
"Deary Library in 1990","Deary Library exterior with sign at edge of parking lot.","","Deary, ID","1990","","Image Collections, Latah County Historical Society, https://www.latahcountyhistoricalsociety.org/","Image;StillImage","PHOTOGRAPH","image/jpeg","image","Library; Sign; Truck; Deary; Idaho","04-06-016.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/04-06-016.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/small/04-06-016_sm.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/thumbs/04-06-016_th.jpg","Copyright, Latah County Historical Society Collections. All Rights reserved, contact the Latah County Historical Society for reproduction information.","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/thumbs/04-06-016_th.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/04-06-016.jpg","https://latahcountyhistoricalsociety.github.io/deary-pilot/items/04-06-016.html"
"United Brethren Church","United Brethren Church, Deary, ID - sign says United Brethren in Christ, a friendly church.","","Deary, ID","1955","1965","Image Collections, Latah County Historical Society, https://www.latahcountyhistoricalsociety.org/","Image;StillImage","PHOTOGRAPH","image/jpeg","image","Church; Pine trees; Sign; Deary; Idaho","04-06-017.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/04-06-017.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/small/04-06-017_sm.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/thumbs/04-06-017_th.jpg","Copyright, Latah County Historical Society Collections. All Rights reserved, contact the Latah County Historical Society for reproduction information.","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/thumbs/04-06-017_th.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/04-06-017.jpg","https://latahcountyhistoricalsociety.github.io/deary-pilot/items/04-06-017.html"
